membership_id,person_id,role_id,party_id,coalition_id,contest_id,goes_for_coalition,membership_type,goes_for_reelection,start_date,end_date,is_substitute,parent_membership_id,changed_from_substitute,date_changed_from_substitute
161,161,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
162,162,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
163,163,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
164,164,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
165,165,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
166,166,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
167,167,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
168,168,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
169,169,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
170,170,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
171,171,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
172,172,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
173,173,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
174,174,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
175,175,1,32,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
176,176,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
177,177,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
178,178,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
179,179,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
180,180,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
181,181,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
182,182,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
183,183,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
184,184,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
185,185,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
186,186,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
187,187,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
188,188,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
189,189,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
190,190,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
191,191,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
192,192,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
193,193,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
194,194,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
195,195,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
196,196,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
197,197,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
198,198,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
199,199,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
200,200,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
201,201,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
202,202,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
203,203,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
204,204,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
205,205,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
206,206,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
207,207,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
208,208,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
209,209,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
210,210,1,40,-1,1,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
211,211,2,21,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
212,212,2,21,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
213,213,2,21,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
214,214,2,26,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
215,215,2,26,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
216,216,2,26,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
217,217,2,33,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
218,218,2,33,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
219,219,2,33,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
220,220,2,36,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
221,221,2,36,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
222,222,2,36,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
223,223,2,49,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
224,224,2,49,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
225,225,2,49,-1,2,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
226,226,3,4,-1,3,False,2,False,2021-09-30,2021-11-14,False,-1,False,0001-01-01,
