area_id,ocd_id,name,country,state,city,district_type,parent_area_id
57,ocd-division/country:mx/state:cs/fed:4,Diputación del Distrito Federal 4 de CHIAPAS,MX,CHP,"BERRIOZABAL, COAPILLA, COPAINALA, CHAPULTENANGO, CHICOASEN, FRANCISCO LEON, IXTACOMITAN, IXTAPANGAJOYA, JUAREZ, OCOTEPEC, OSTUACAN, OSUMACINTA, PANTEPEC, PICHUCALCO, RAYON, REFORMA, SAN FERNANDO, SOLOSUCHIAPA, SUNUAPA, TAPALAPA, TAPILULA, TECPATAN, MEZCALAPA",2,-1,
58,ocd-division/country:mx/state:cs/fed:5,Diputación del Distrito Federal 5 de CHIAPAS,MX,CHP,"CHAMULA, SAN CRISTOBAL DE LAS CASAS, SAN JUAN CANCUC, SAN LUCAS, TENEJAPA, ZINACANTAN",2,-1,
59,ocd-division/country:mx/state:cs/fed:6,Diputación del Distrito Federal 6 de CHIAPAS,MX,CHP,"ACALA, CHIAPA DE CORZO, CHIAPILLA, OCOZOCOAUTLA DE ESPINOSA, SUCHIAPA, TOTOLAPA, TUXTLA GUTIERREZ, EMILIANO ZAPATA",2,-1,
60,ocd-division/country:mx/state:cs/fed:7,Diputación del Distrito Federal 7 de CHIAPAS,MX,CHP,"ACACOYAGUA, ACAPETAHUA, ARRIAGA, ESCUINTLA, HUIXTLA, MAPASTEPEC, PIJIJIAPAN, TONALA, VILLACOMALTITLAN",2,-1,
61,ocd-division/country:mx/state:cs/fed:8,Diputación del Distrito Federal 8 de CHIAPAS,MX,CHP,"COMITAN DE DOMINGUEZ, FRONTERA COMALAPA, NICOLAS RUIZ, LAS ROSAS, SOCOLTENANGO, LA TRINITARIA, TZIMOL, VENUSTIANO CARRANZA",2,-1,
62,ocd-division/country:mx/state:cs/fed:9,Diputación del Distrito Federal 9 de CHIAPAS,MX,CHP,TUXTLA GUTIERREZ,2,-1,
63,ocd-division/country:mx/state:df,Gubernatura de CIUDAD DE MÉXICO,MX,CMX,,1,-1,
64,ocd-division/country:mx/state:df/city:10,Presidencia del municipio de ÁLVARO OBREGÓN,MX,CMX,ÁLVARO OBREGÓN,3,-1,
65,ocd-division/country:mx/state:df/city:11,Presidencia del municipio de TLÁHUAC,MX,CMX,TLÁHUAC,3,-1,
66,ocd-division/country:mx/state:df/city:12,Presidencia del municipio de TLALPAN,MX,CMX,TLALPAN,3,-1,
67,ocd-division/country:mx/state:df/city:13,Presidencia del municipio de XOCHIMILCO,MX,CMX,XOCHIMILCO,3,-1,
68,ocd-division/country:mx/state:df/city:14,Presidencia del municipio de BENITO JUÁREZ,MX,CMX,BENITO JUÁREZ,3,-1,
69,ocd-division/country:mx/state:df/city:15,Presidencia del municipio de CUAUHTÉMOC,MX,CMX,CUAUHTÉMOC,3,-1,
70,ocd-division/country:mx/state:df/city:16,Presidencia del municipio de MIGUEL HIDALGO,MX,CMX,MIGUEL HIDALGO,3,-1,
71,ocd-division/country:mx/state:df/city:9,Presidencia del municipio de MILPA ALTA,MX,CMX,MILPA ALTA,3,-1,
72,ocd-division/country:mx/state:df/city:17,Presidencia del municipio de VENUSTIANO CARRANZA,MX,CMX,VENUSTIANO CARRANZA,3,-1,
73,ocd-division/country:mx/state:df/city:2,Presidencia del municipio de AZCAPOTZALCO,MX,CMX,AZCAPOTZALCO,3,-1,
74,ocd-division/country:mx/state:df/city:3,Presidencia del municipio de COYOACÁN,MX,CMX,COYOACÁN,3,-1,
75,ocd-division/country:mx/state:df/city:4,Presidencia del municipio de CUAJIMALPA DE MORELOS,MX,CMX,CUAJIMALPA DE MORELOS,3,-1,
76,ocd-division/country:mx/state:df/city:5,Presidencia del municipio de GUSTAVO A. MADERO,MX,CMX,GUSTAVO A. MADERO,3,-1,
77,ocd-division/country:mx/state:df/city:6,Presidencia del municipio de IZTACALCO,MX,CMX,IZTACALCO,3,-1,
