person_profession_id,person_id,profession_id
1831,925,12,
1832,926,104,
1833,927,60,
1834,928,29,
1835,928,10,
1836,928,33,
1837,929,51,
1838,929,10,
1839,931,31,
1840,931,53,
1841,932,41,
1842,932,31,
1843,933,50,
1844,933,40,
1845,934,50,
1846,935,74,
1847,935,44,
1848,935,43,
1849,936,31,
1850,936,38,
1851,937,81,
1852,937,50,
1853,938,33,
1854,938,16,
1855,939,114,
1856,939,31,
1857,940,35,
1858,940,38,
1859,941,35,
1860,941,31,
1861,942,35,
1862,943,33,
1863,943,40,
1864,943,114,
1865,944,33,
1866,944,31,
1867,944,37,
1868,945,50,
1869,946,40,
1870,947,31,
1871,948,114,
1872,950,41,
1873,950,8,
1874,950,9,
1875,952,64,
1876,952,41,
