full_name,first_name,last_name,date_birth,gender,dead_or_alive,last_degree_of_studies,contest_id
Alejandro Durán Raña,Alejandro,Durán Raña,0001-01-01,1,True,-1,349,
Nidia Martínez Molotla,Nidia,Martínez Molotla,0001-01-01,2,True,6,349,
Hector Jiménez Garces,Hector,Jiménez Garces,0001-01-01,1,True,4,349,
Araceli Berenice Hernández Calderón,Araceli Berenice,Hernández Calderón,0001-01-01,2,True,4,349,
Saúl Cruz Rodríguez,Saúl,Cruz Rodríguez,0001-01-01,1,True,-1,349,
Alejandro Moran Rojo “Alex Moran”,Alejandro,Moran Rojo,0001-01-01,1,True,3,349,
Alicia Jiménez Padilla,Alicia,Jiménez Padilla,0001-01-01,2,True,-1,349,
Alfredo Alejandro Escamilla Alfaro,Alfredo Alejandro,Escamilla Alfaro,0001-01-01,1,True,-1,351,
Héctor Hugo Hernández Rodríguez,Hector Hugo,Hernandez,1974-02-27,1,True,4,351,
Paula Alejandra Pérez Córdova,Paula Alejandra,Pérez Córdova,0001-01-01,2,True,-1,351,
Gabriela Osorio Hernández,Gabriela,Osorio Hernandez,1990-09-29,2,True,4,351,
Adolfo Llubere Sevilla,Adolfo,Llubere Sevilla,0001-01-01,1,True,6,351,
Juan José Rodríguez Pérez,Juan José,Rodríguez Pérez,0001-01-01,1,True,-1,351,
Susana Granada Armas,Susana,Granada Armas,0001-01-01,2,True,7,351,
Alfa Eliana González Magallanes,Alfa Eliana,González Magallanes,2012-08-29,2,True,4,351,
Liliana Torres Cortés,Liliana,Torres Cortés,0001-01-01,2,True,-1,356,
Zurishaday Hernández Hernández,Zurishaday,Hernández Hernández,0001-01-01,2,True,2,356,
María Angélica Dueñas Pérez,María Angélica,Dueñas Pérez,0001-01-01,2,True,4,356,
Evelyn Parra Álvarez,Evelyn,Parra Álvarez,0001-01-01,2,True,4,356,
Mariana Mateos Ortega,Mariana,Mateos Ortega,0001-01-01,2,True,6,356,
Manuel Leal Navarro “El Tinieblas”,Manuel,Leal Navarro,1939-06-08,1,True,-1,356,
José Antonio García Cruz,José Antonio,García Cruz,0001-01-01,1,True,4,356,
Rocío Barrera Badillo,Rocío,Barrera Badillo,1976-10-01,2,True,4,356,
María De Los Ángeles De Lucio Arraiga,María De Los Ángeles,De Lucio Arraiga,0001-01-01,1,True,4,357,
Sergio Flores Ríos,Sergio,Flores Ríos,0001-01-01,1,True,6,357,
Miguel Ángel Camara Arango,Miguel Ángel,Camara Arango,1956-10-15,1,True,4,357,
José Carlos Acosta Ruiz,José Carlos,Acosta Ruiz,1978-03-26,1,True,4,357,
Alejandra Adriana Miranda Vega,Alejandra Adriana,Miranda Vega,0001-01-01,2,True,-1,357,
Nancy Báez Aguilar,Nancy,Báez Aguilar,0001-01-01,2,True,-1,357,
Miguel Ángel Cruz Águila,Miguel Ángel,Cruz Águila,0001-01-01,1,True,-1,357,
Héctor Armando Almazán Cravioto,Héctor Armando,Almazán Cravioto,1977-02-19,1,True,4,357,
Gabriel Del Monte Rosales,Gabriel,Del Monte Rosales,1958-03-17,1,True,-1,357,
Monica Becerra Moreno,Monica,Becerra Moreno,0001-01-01,2,True,4,96,
Paulo Gonzalo Martinez Lopez,Paulo Gonzalo,Martinez Lopez,1976-12-13,1,True,4,145,
Roberto Lamas De Alba,Roberto,Lamas de Alba,0001-01-01,1,True,4,96,
Luis Francisco Gerardo Ponce Moran,Luis Francisco Gerardo,Ponce Moran,0001-01-01,1,True,4,145,
Luis Ernesto Gutierrez Berdeja,Luis Ernesto,Gutierrez Berdeja,0001-01-01,1,True,4,96,
Susan Any Muñoz Rodriguez,Susan Any,Muñoz Rodriguez,0001-01-01,2,True,2,145,
Claudia Briseida Chavez Ramirez,Claudia Briseida,Chavez Ramirez,0001-01-01,2,True,2,1,
Jose Amador Hernandez Jimenez,Jose Amador,Hernandez Jimenez,0001-01-01,1,True,4,1,
Norma Isabel Zamora Rodriguez,Norma Isabel,Zamora Rodriguez,0001-01-01,2,True,4,1,
Paola Nadine Cortes Calzada,Paola Nadine,Cortes Calzada,0001-01-01,2,True,6,96,
France Svetlana Farias Carrillo,France Svetlana,Farias Carrillo,0001-01-01,2,True,4,145,
Rafael Calderon Zamarripa,Rafael,Calderon Zamarripa,0001-01-01,1,True,4,1,
Martha Esperanza Campos Zambrano,Martha Esperanza,Campos Zambrano,0001-01-01,2,True,4,1,
Veronica Damaris Diaz Ramirez,Veronica Damaris,Diaz Ramirez,0001-01-01,2,True,2,96,
David Perez Calleja,David,Perez Calleja,0001-01-01,1,True,5,145,
Jorge Emir Cravioto Quezada,Jorge Emir,Cravioto Quezada,0001-01-01,1,True,4,1,
Teodulo Nuñez Leaños,Teodulo,Nuñez Leaños,0001-01-01,1,True,4,96,
Ana Lilia Muñoz Armenta,Ana Lilia,Muñoz Armenta,0001-01-01,2,True,7,145,
Maria Cristina Lopez Gonzalez,Maria Cristina,Lopez Gonzalez,0001-01-01,2,True,2,1,
Elvia Ruth Pedroza Gonzalez,Elvia Ruth,Pedroza Gonzalez,0001-01-01,2,True,-1,96,
Maria Fernanda Campos Atristain,Maria Fernanda,Campos Atristain,0001-01-01,2,True,4,145,
Noel Mata Atilano,Noel,Mata Atilano,0001-01-01,1,True,6,1,
Elba Lorena Torres Diaz,Elba Lorena,Torres Diaz,1977-03-15,2,True,4,96,
Aida Karina Banda Iglesias,Aida Karina,Banda Iglesias,0001-01-01,2,True,4,145,
