other_name_type,name,person_id
2,Anahi Gonzalez,1811,
2,Batun,1812,
2,Laura Fernandez,1813,
2,David Rangel El Capi,1816,
2,Pepe Toño,1829,
2,Fernanda Yrizar,1832,
2,Servando,1833,
2,La Güera,1835,
2,Sam,1839,
2,Dr. Arce,1841,
2,Lic. Gonzalez Castañeda,1842,
2,Ely,1843,
2,Sara Rocha,1845,
2,Marce,1850,
2,Jano Segovia,1851,
2,Dr. Antolin Guerrero,1853,
2,Maestra,1861,
2,El Jaibo,1862,
2,Paulina,1869,
2,Abraham Raya,1871,
2,El Güero Cruz,1872,
2,Blanca Rico,1888,
2,Dra Paloma Meneses,1891,
2,Pio,1895,
2,El Profe,1900,
2,Yadira Marcos,1901,
2,Jesse,1904,
2,El Balde,1907,
2,Fabby,1909,
2,Yuyina,1920,
2,Lety Amparano,1924,
2,Arturo Fernandez,1925,
2,El Negro,1926,
2,Ana Bernal,1929,
2,El Carolino,1932,
2,La Maestra,1933,
2,Ramoncita,1934,
2,Charly Leon,1936,
2,La Chef,1938,
2,Lalo,1939,
2,Panchito,1942,
2,Marycarmen,1943,
2,Kitty,1948,
2,Rosa A. Gayosso De Sevilla,1953,
2,"Mara Yee,Mara Vazquez Yee",1957,
2,Raque,1965,
2,Neto,1966,
2,Cueto,1968,
2,Leydi Lopez,1970,
2,Javier Perez Ramirez,1973,
2,Lesvia Leon,1974,
2,Gina,1975,
2,La Contadora,1979,
2,Kike Zubiaur,1988,
2,Lupita Vidal,1993,
2,Vero,1997,
2,La Inge,1999,
2,Patty Gómez de Briones,2000,
2,Chava Rosas,2004,
2,Letty Gutierrez,2005,
2,Joaco,2009,
2,Laurita,2012,
2,Yanin,2015,
2,Gina,2019,
2,Jonathan Zorrilla,2020,
2,Maestra Norita,2022,
2,Pepe Hurtado,2023,
2,Ricardo "el Baby" Vazquez Muñoz,2026,
2,El Profe,2030,
2,Doris,2033,
2,Lily Duran,2035,
2,Any Saldaña,2036,
2,Letty Silva,2037,
2,Hugo Rojo,2041,
2,Lic. Oscar Gibran,2043,
2,Charito,2047,
2,Coco Cardenas,2053,
2,Profe,2054,
2,Poncho Méndez,2056,
2,Isby Lopez,2059,
2,Anwar Vivian,2060,
2,Max Labarca,2063,
2,El Lic Fidel Rodriguez,2064,
2,Lalo Chavarria,2070,
2,Alex Flores Lopez,2075,
2,Chavita,2077,
2,Cristy,2087,
2,Irineo,2102,
2,Estela Salas,2104,
2,Edith Cervantes,2105,
2,Claudia Menes,2106,
2,German,2107,
2,Yessi,2108,
2,Profe Capetillo,2119,
2,Mascareñas,2123,
2,Sagrario Hernandez,2125,
2,Dul,2128,
2,Marichuy Lavalle,2130,
2,Fede,2132,
2,Beto Paredes,2134,
2,Rafael Hernandez,2138,
2,Capitan Faustino,2147,
2,Dra. Teresa,2158,
2,Carlos El Ovni,2163,
2,Doña Mirela,2164,
2,Lucy Ventura,2166,
2,Tity Kastelo,2167,
2,Grace,2172,
2,Rosy,2174,
2,Tato Vega,2175,
2,Sabino,2176,
2,Chelo,2177,
2,Karina,2178,
2,Tomi,2179,
2,Maroli,2180,
2,Zita Pazzi,2183,
2,Eric Sosa,2184,
2,Mayte Osorio,2185,
2,Paco Gutierrez,2186,
2,Adriana Soto,2189,
2,Pepe Yunes,2191,
2,Doctora Nereida,2193,
2,Maryjose Gamboa,2194,
2,Igor Roji,2197,
2,Mario Amoros,2200,
2,Maru Pinete,2203,
2,Bertha Espinoza,2204,
2,Rosa Maria,2205,
2,Pulpo Remes,2206,
2,Gely Peña,2209,
2,Martha,2212,
2,Pepe López,2218,
2,Lobo,2223,
2,Violeth,2224,
2,Gaby,2225,
2,Amigo Libo,2227,
2,Rommel Pacheco,2229,
2,Gaby Cejudo,2235,
2,Lupita Lopez,2238,
2,Lupita González,2239,
2,Ro Padilla Lizama,2242,
2,Geovanna Campos,2249,
2,Chable,2250,
2,Lupita Uxul,2252,
2,Rebe,2255,
2,Dra. Rosy Díaz,2256,
2,Charly,2257,
2,"Maggi Torres,Maggie Torres,Magui Torres",2258,
2,Negrita,2260,
2,Lupita Flores,2266,
2,Lic Olga,2268,
2,Norma Castorena,2269,
2,Miguel Varela,2270,
2,Carlos Peña,2271,
2,Caro Davila,2272,
2,Benelly Hernandez,2273,
2,Lyndi,2274,
2,Kathia Bustillos,2287,
2,Adriana Teresa,2288,
2,Katy Aguiar,2295,
2,Mtra. Patricia Borunda,2308,
2,El Guero Martinez,2313,
2,Chema Fraustro,2318,
2,Tere Romo,2320,
2,Lily Leal,2327,
2,Dr. Arellano,2331,
2,Carlos Marin,2335,
2,Mary Navora,2354,
2,Erika Paola Azuara,2355,
2,Pako Moreno,2358,
2,Alejandro Albarran,2359,
2,Many Cortes,2360,
2,Luis Torres,2361,
2,Israel Torres,2362,
2,Cintia Ortiz,2368,
2,Alex Lopez,2370,
2,Pepe,2371,
2,Betuco,2373,
2,Murat,2376,
2,Coronel Nazarea Herrera,2377,
